year,month,rain_mm
1981,10,53.73335266113281
1981,11,63.22651672363281
1981,12,69.50957489013672
1982,10,123.94074249267578
1982,11,163.70079040527344
1982,12,65.13616943359375
1983,10,42.16022491455078
1983,11,58.53816223144531
1983,12,64.54266357421875
1984,10,48.63408279418945
1984,11,129.46951293945312
1984,12,65.35192108154297
1985,10,31.43807601928711
1985,11,79.07988739013672
1985,12,42.23960494995117
1986,10,44.272483825683594
1986,11,91.564697265625
1986,12,93.51585388183594
1987,10,28.046117782592773
1987,11,72.76786804199219
1987,12,25.382890701293945
1988,10,45.328975677490234
1988,11,73.33666229248047
1988,12,85.43708801269531
1989,10,53.27113342285156
1989,11,122.22693634033203
1989,12,105.06631469726562
1990,10,55.98764419555664
1990,11,72.8339614868164
1990,12,92.80968475341797
1991,10,53.07679748535156
1991,11,58.2615852355957
1991,12,81.0556869506836
1992,10,50.32474899291992
1992,11,94.078857421875
1992,12,110.70362854003906
1993,10,40.889976501464844
1993,11,60.813751220703125
1993,12,47.0589485168457
1994,10,68.78024291992188
1994,11,158.88099670410156
1994,12,74.39884185791016
1995,10,73.29095458984375
1995,11,52.81290054321289
1995,12,57.38348388671875
1996,10,27.231849670410156
1996,11,93.31212615966797
1996,12,23.94326400756836
1997,10,170.0921630859375
1997,11,282.6506042480469
1997,12,189.68759155273438
1998,10,33.977298736572266
1998,11,53.71697998046875
1998,12,19.093265533447266
1999,10,37.18437194824219
1999,11,107.78099060058594
1999,12,52.02554702758789
2000,10,50.05316925048828
2000,11,105.91172790527344
2000,12,71.63742065429688
2001,10,41.91178512573242
2001,11,108.9048080444336
2001,12,35.718650817871094
2002,10,71.5472183227539
2002,11,89.07774353027344
2002,12,127.17850494384766
2003,10,42.24933624267578
2003,11,83.12010955810547
2003,12,51.344486236572266
2004,10,52.3621711730957
2004,11,110.62890625
2004,12,63.502403259277344
2005,10,32.004066467285156
2005,11,47.201210021972656
2005,12,15.234162330627441
2006,10,94.8405532836914
2006,11,216.05123901367188
2006,12,152.45346069335938
2007,10,42.50281524658203
2007,11,75.9738540649414
2007,12,47.493778228759766
2008,10,65.4425277709961
2008,11,104.35340881347656
2008,12,21.539077758789062
2009,10,86.13833618164062
2009,11,63.69927978515625
2009,12,117.39337158203125
2010,10,40.278133392333984
2010,11,55.62079620361328
2010,12,40.30153274536133
2011,10,121.6015396118164
2011,11,195.78785705566406
2011,12,67.50128173828125
2012,10,77.72865295410156
2012,11,94.39725494384766
2012,12,88.30750274658203
2013,10,35.121803283691406
2013,11,95.98961639404297
2013,12,64.9700698852539
2014,10,64.96977233886719
2014,11,103.83971405029297
2014,12,55.88633728027344
2015,10,69.95206451416016
2015,11,165.79483032226562
2015,12,80.00987243652344
2016,10,24.593128204345703
2016,11,79.9129409790039
2016,12,33.41572952270508
2017,10,75.34213256835938
2017,11,117.03563690185547
2017,12,24.233999252319336
2018,10,57.05651092529297
2018,11,51.421573638916016
2018,12,99.37665557861328
2019,10,193.5035858154297
2019,11,182.98489379882812
2019,12,148.85043334960938
2020,10,60.96260070800781
2020,11,114.7861557006836
2020,12,57.403953552246094
2021,10,40.336280822753906
2021,11,72.91549682617188
2021,12,88.60322570800781
2022,10,39.34193420410156
2022,11,95.4419937133789
2022,12,65.54405212402344
2023,10,104.24208068847656
2023,11,276.86468505859375
2023,12,78.54963684082031
2024,10,44.41261672973633
2024,11,152.14443969726562
2024,12,58.371429443359375
2025,10,58.50320816040039
